場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中山,ダ,2500,福島,9,1,4,0.1111,0.4444,0.416667
中山,ダ,2500,笠松,1,0,0,0.0,0.0,0.25
中山,ダ,2500,金沢,1,0,0,0.0,0.0,0.25
中山,芝,1200,中京,23,2,3,0.087,0.1304,0.153846
中山,芝,1200,中山,183,16,42,0.0874,0.2295,0.231183
中山,芝,1200,京都,22,1,4,0.0455,0.1818,0.2
中山,芝,1200,佐賀,1,0,0,0.0,0.0,0.25
中山,芝,1200,函館,10,3,5,0.3,0.5,0.461538
中山,芝,1200,小倉,57,3,13,0.0526,0.2281,0.233333
中山,芝,1200,新潟,56,4,10,0.0714,0.1786,0.186441
中山,芝,1200,札幌,33,0,8,0.0,0.2424,0.25
中山,芝,1200,東京,47,2,10,0.0426,0.2128,0.22
中山,芝,1200,浦和,1,0,0,0.0,0.0,0.25
中山,芝,1200,盛岡,4,0,0,0.0,0.0,0.142857
中山,芝,1200,福島,74,2,14,0.027,0.1892,0.194805
中山,芝,1200,笠松,1,0,0,0.0,0.0,0.25
中山,芝,1200,船橋,1,0,1,0.0,1.0,0.5
中山,芝,1200,阪神,56,8,14,0.1429,0.25,0.254237
中山,芝,1600,中京,52,1,7,0.0192,0.1346,0.145455
中山,芝,1600,中山,230,19,62,0.0826,0.2696,0.270386
中山,芝,1600,京都,17,1,2,0.0588,0.1176,0.15
中山,芝,1600,函館,6,0,1,0.0,0.1667,0.222222
中山,芝,1600,名古,4,0,0,0.0,0.0,0.142857
中山,芝,1600,園田,1,0,0,0.0,0.0,0.25
中山,芝,1600,大井,2,0,0,0.0,0.0,0.2
中山,芝,1600,小倉,17,1,3,0.0588,0.1765,0.2
中山,芝,1600,川崎,2,0,0,0.0,0.0,0.2
中山,芝,1600,新潟,77,5,16,0.0649,0.2078,0.2125
中山,芝,1600,札幌,54,7,13,0.1296,0.2407,0.245614
中山,芝,1600,東京,204,19,53,0.0931,0.2598,0.26087
中山,芝,1600,水沢,1,0,0,0.0,0.0,0.25
中山,芝,1600,盛岡,5,0,0,0.0,0.0,0.125
中山,芝,1600,福島,22,1,3,0.0455,0.1364,0.16
中山,芝,1600,笠松,2,0,0,0.0,0.0,0.2
中山,芝,1600,船橋,5,0,0,0.0,0.0,0.125
中山,芝,1600,金沢,2,0,0,0.0,0.0,0.2
中山,芝,1600,門別,3,0,0,0.0,0.0,0.166667
中山,芝,1600,阪神,59,4,14,0.0678,0.2373,0.241935
中山,芝,1800,中京,18,1,4,0.0556,0.2222,0.238095
中山,芝,1800,中山,121,12,35,0.0992,0.2893,0.290323
中山,芝,1800,京都,18,2,7,0.1111,0.3889,0.380952
中山,芝,1800,函館,2,1,1,0.5,0.5,0.4
中山,芝,1800,園田,3,0,0,0.0,0.0,0.166667
中山,芝,1800,小倉,29,2,7,0.069,0.2414,0.25
中山,芝,1800,新潟,46,2,4,0.0435,0.087,0.102041
中山,芝,1800,札幌,26,2,8,0.0769,0.3077,0.310345
中山,芝,1800,東京,126,10,33,0.0794,0.2619,0.263566
中山,芝,1800,盛岡,1,0,0,0.0,0.0,0.25
中山,芝,1800,福島,33,1,4,0.0303,0.1212,0.138889
中山,芝,1800,門別,1,0,0,0.0,0.0,0.25
中山,芝,1800,阪神,27,3,5,0.1111,0.1852,0.2
中山,芝,2000,中京,23,0,5,0.0,0.2174,0.230769
中山,芝,2000,中山,123,11,30,0.0894,0.2439,0.246032
中山,芝,2000,京都,7,0,0,0.0,0.0,0.1
中山,芝,2000,函館,4,0,0,0.0,0.0,0.142857
中山,芝,2000,小倉,23,2,7,0.087,0.3043,0.307692
中山,芝,2000,新潟,33,2,9,0.0606,0.2727,0.277778
中山,芝,2000,札幌,23,2,5,0.087,0.2174,0.230769
中山,芝,2000,東京,87,5,20,0.0575,0.2299,0.233333
中山,芝,2000,水沢,1,0,0,0.0,0.0,0.25
中山,芝,2000,福島,38,5,10,0.1316,0.2632,0.268293
中山,芝,2000,阪神,25,3,4,0.12,0.16,0.178571
中山,芝,2200,中京,15,2,5,0.1333,0.3333,0.333333
中山,芝,2200,中山,90,6,22,0.0667,0.2444,0.247312
中山,芝,2200,京都,4,1,3,0.25,0.75,0.571429
中山,芝,2200,佐賀,1,0,0,0.0,0.0,0.25
中山,芝,2200,函館,2,0,1,0.0,0.5,0.4
中山,芝,2200,園田,1,0,0,0.0,0.0,0.25
中山,芝,2200,小倉,3,0,0,0.0,0.0,0.166667
中山,芝,2200,川崎,1,0,0,0.0,0.0,0.25
中山,芝,2200,新潟,4,0,1,0.0,0.25,0.285714
