場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
新潟,芝,1200,先行,79,8,25,0.1013,0.3165,0.317073
新潟,芝,1200,差し,241,10,36,0.0415,0.1494,0.151639
新潟,芝,1200,逃げ,22,4,5,0.1818,0.2273,0.24
新潟,芝,1400,先行,80,5,19,0.0625,0.2375,0.240964
新潟,芝,1400,差し,290,14,43,0.0483,0.1483,0.150171
新潟,芝,1400,逃げ,24,5,11,0.2083,0.4583,0.444444
新潟,芝,1600,先行,82,9,24,0.1098,0.2927,0.294118
新潟,芝,1600,差し,221,10,32,0.0452,0.1448,0.147321
新潟,芝,1600,逃げ,22,3,10,0.1364,0.4545,0.44
新潟,芝,1800,,1,0,0,0.0,0.0,0.25
新潟,芝,1800,先行,125,13,33,0.104,0.264,0.265625
新潟,芝,1800,差し,300,15,58,0.05,0.1933,0.194719
新潟,芝,1800,逃げ,36,8,17,0.2222,0.4722,0.461538
新潟,芝,2000,,2,0,0,0.0,0.0,0.2
新潟,芝,2000,先行,85,11,27,0.1294,0.3176,0.318182
新潟,芝,2000,差し,174,13,40,0.0747,0.2299,0.231638
新潟,芝,2000,逃げ,24,0,5,0.0,0.2083,0.222222
新潟,芝,2200,まくり,2,1,1,0.5,0.5,0.4
新潟,芝,2200,先行,59,4,22,0.0678,0.3729,0.370968
新潟,芝,2200,差し,122,8,18,0.0656,0.1475,0.152
新潟,芝,2200,逃げ,15,2,4,0.1333,0.2667,0.277778
新潟,芝,2400,まくり,2,1,2,0.5,1.0,0.6
新潟,芝,2400,先行,14,2,4,0.1429,0.2857,0.294118
新潟,芝,2400,差し,38,1,5,0.0263,0.1316,0.146341
新潟,芝,2400,逃げ,7,1,4,0.1429,0.5714,0.5
札幌,ダ,1000,,1,0,0,0.0,0.0,0.25
札幌,ダ,1000,先行,68,10,29,0.1471,0.4265,0.422535
札幌,ダ,1000,差し,130,4,20,0.0308,0.1538,0.157895
札幌,ダ,1000,逃げ,19,5,8,0.2632,0.4211,0.409091
札幌,ダ,1700,,10,0,0,0.0,0.0,0.076923
札幌,ダ,1700,まくり,15,3,9,0.2,0.6,0.555556
札幌,ダ,1700,先行,188,31,89,0.1649,0.4734,0.471204
札幌,ダ,1700,差し,428,12,48,0.028,0.1121,0.113689
札幌,ダ,1700,逃げ,63,8,16,0.127,0.254,0.257576
札幌,芝,1200,,2,0,0,0.0,0.0,0.2
札幌,芝,1200,まくり,1,0,1,0.0,1.0,0.5
札幌,芝,1200,先行,104,13,29,0.125,0.2788,0.280374
札幌,芝,1200,差し,284,13,47,0.0458,0.1655,0.167247
札幌,芝,1200,逃げ,29,3,11,0.1034,0.3793,0.375
札幌,芝,1500,,2,0,0,0.0,0.0,0.2
札幌,芝,1500,まくり,3,0,1,0.0,0.3333,0.333333
札幌,芝,1500,先行,72,13,27,0.1806,0.375,0.373333
札幌,芝,1500,差し,174,3,25,0.0172,0.1437,0.146893
