場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率
新潟,ダ,1800,先行,274,46,123,0.1679,0.4489
新潟,ダ,1800,差し,728,18,83,0.0247,0.114
新潟,ダ,1800,逃げ,94,15,31,0.1596,0.3298
新潟,芝,1000,先行,118,7,33,0.0593,0.2797
新潟,芝,1000,差し,439,20,52,0.0456,0.1185
新潟,芝,1000,逃げ,48,9,23,0.1875,0.4792
新潟,芝,1200,先行,79,8,25,0.1013,0.3165
新潟,芝,1200,差し,241,10,36,0.0415,0.1494
新潟,芝,1200,逃げ,22,4,5,0.1818,0.2273
新潟,芝,1400,先行,80,5,19,0.0625,0.2375
新潟,芝,1400,差し,290,14,43,0.0483,0.1483
新潟,芝,1400,逃げ,24,5,11,0.2083,0.4583
新潟,芝,1600,先行,82,9,24,0.1098,0.2927
新潟,芝,1600,差し,221,10,32,0.0452,0.1448
新潟,芝,1600,逃げ,22,3,10,0.1364,0.4545
新潟,芝,1800,先行,125,13,33,0.104,0.264
新潟,芝,1800,差し,300,15,58,0.05,0.1933
新潟,芝,1800,逃げ,36,8,17,0.2222,0.4722
新潟,芝,2000,先行,85,11,27,0.1294,0.3176
新潟,芝,2000,差し,174,13,40,0.0747,0.2299
新潟,芝,2000,逃げ,24,0,5,0.0,0.2083
新潟,芝,2200,まくり,2,1,1,0.5,0.5
新潟,芝,2200,先行,59,4,22,0.0678,0.3729
新潟,芝,2200,差し,122,8,18,0.0656,0.1475
新潟,芝,2200,逃げ,15,2,4,0.1333,0.2667
新潟,芝,2400,まくり,2,1,2,0.5,1.0
新潟,芝,2400,先行,14,2,4,0.1429,0.2857
新潟,芝,2400,差し,38,1,5,0.0263,0.1316
新潟,芝,2400,逃げ,7,1,4,0.1429,0.5714
札幌,ダ,1000,先行,68,10,29,0.1471,0.4265
札幌,ダ,1000,差し,130,4,20,0.0308,0.1538
札幌,ダ,1000,逃げ,19,5,8,0.2632,0.4211
札幌,ダ,1700,まくり,15,3,9,0.2,0.6
札幌,ダ,1700,先行,188,31,89,0.1649,0.4734
札幌,ダ,1700,差し,428,12,48,0.028,0.1121
札幌,ダ,1700,逃げ,63,8,16,0.127,0.254
札幌,芝,1200,まくり,1,0,1,0.0,1.0
札幌,芝,1200,先行,104,13,29,0.125,0.2788
札幌,芝,1200,差し,284,13,47,0.0458,0.1655
札幌,芝,1200,逃げ,29,3,11,0.1034,0.3793
札幌,芝,1500,まくり,3,0,1,0.0,0.3333
札幌,芝,1500,先行,72,13,27,0.1806,0.375
札幌,芝,1500,差し,174,3,25,0.0172,0.1437
札幌,芝,1500,逃げ,23,5,10,0.2174,0.4348
札幌,芝,1800,まくり,6,2,2,0.3333,0.3333
札幌,芝,1800,先行,76,13,39,0.1711,0.5132
札幌,芝,1800,差し,160,6,16,0.0375,0.1
札幌,芝,1800,逃げ,24,1,9,0.0417,0.375
札幌,芝,2000,まくり,12,2,4,0.1667,0.3333
札幌,芝,2000,先行,96,15,44,0.1562,0.4583
札幌,芝,2000,差し,209,5,23,0.0239,0.11
札幌,芝,2000,逃げ,27,5,10,0.1852,0.3704
札幌,芝,2600,まくり,10,3,9,0.3,0.9
札幌,芝,2600,先行,45,8,21,0.1778,0.4667
札幌,芝,2600,差し,126,3,14,0.0238,0.1111
札幌,芝,2600,逃げ,17,2,4,0.1176,0.2353
東京,ダ,1300,先行,69,8,24,0.1159,0.3478
東京,ダ,1300,差し,208,7,23,0.0337,0.1106
東京,ダ,1300,逃げ,19,4,10,0.2105,0.5263
東京,ダ,1400,先行,344,40,113,0.1163,0.3285
東京,ダ,1400,差し,1067,46,150,0.0431,0.1406
東京,ダ,1400,逃げ,98,12,31,0.1224,0.3163
東京,ダ,1600,先行,436,56,138,0.1284,0.3165
東京,ダ,1600,差し,1145,44,175,0.0384,0.1528
東京,ダ,1600,逃げ,117,17,38,0.1453,0.3248
東京,ダ,2100,まくり,3,0,1,0.0,0.3333
東京,ダ,2100,先行,172,17,50,0.0988,0.2907
東京,ダ,2100,差し,514,26,82,0.0506,0.1595
東京,ダ,2100,逃げ,51,7,17,0.1373,0.3333
東京,芝,1400,まくり,1,0,1,0.0,1.0
東京,芝,1400,先行,231,20,62,0.0866,0.2684
東京,芝,1400,差し,640,38,114,0.0594,0.1781
東京,芝,1400,逃げ,68,10,28,0.1471,0.4118
東京,芝,1600,先行,209,26,68,0.1244,0.3254
東京,芝,1600,差し,466,28,91,0.0601,0.1953
東京,芝,1600,逃げ,60,6,21,0.1,0.35
東京,芝,1800,まくり,2,0,1,0.0,0.5
東京,芝,1800,先行,167,19,57,0.1138,0.3413
東京,芝,1800,差し,348,25,76,0.0718,0.2184
東京,芝,1800,逃げ,60,8,22,0.1333,0.3667
東京,芝,2000,まくり,11,0,3,0.0,0.2727
東京,芝,2000,先行,171,24,60,0.1404,0.3509
東京,芝,2000,差し,342,23,78,0.0673,0.2281
東京,芝,2000,逃げ,59,6,18,0.1017,0.3051
東京,芝,2300,まくり,1,0,0,0.0,0.0
東京,芝,2300,先行,14,1,2,0.0714,0.1429
東京,芝,2300,差し,20,3,9,0.15,0.45
東京,芝,2300,逃げ,4,0,1,0.0,0.25
東京,芝,2400,まくり,9,1,4,0.1111,0.4444
東京,芝,2400,先行,147,18,57,0.1224,0.3878
東京,芝,2400,差し,270,20,56,0.0741,0.2074
東京,芝,2400,逃げ,48,6,18,0.125,0.375
東京,芝,2500,先行,4,1,2,0.25,0.5
東京,芝,2500,差し,2,0,1,0.0,0.5
東京,芝,2500,逃げ,1,0,0,0.0,0.0
福島,ダ,1150,先行,175,24,69,0.1371,0.3943
福島,ダ,1150,差し,531,12,51,0.0226,0.096
福島,ダ,1150,逃げ,50,14,30,0.28,0.6
福島,ダ,1700,まくり,10,2,5,0.2,0.5
福島,ダ,1700,先行,212,33,89,0.1557,0.4198
福島,ダ,1700,差し,567,16,63,0.0282,0.1111
福島,ダ,1700,逃げ,66,11,29,0.1667,0.4394
福島,芝,1200,先行,230,30,79,0.1304,0.3435
福島,芝,1200,差し,605,20,82,0.0331,0.1355
福島,芝,1200,逃げ,63,13,28,0.2063,0.4444
福島,芝,1800,まくり,4,0,2,0.0,0.5
福島,芝,1800,先行,117,15,40,0.1282,0.3419
福島,芝,1800,差し,296,11,38,0.0372,0.1284
福島,芝,1800,逃げ,31,5,13,0.1613,0.4194
福島,芝,2000,まくり,5,0,0,0.0,0.0
福島,芝,2000,先行,102,11,40,0.1078,0.3922
福島,芝,2000,差し,246,13,38,0.0528,0.1545
福島,芝,2000,逃げ,32,5,9,0.1562,0.2812
福島,芝,2600,まくり,8,2,5,0.25,0.625
福島,芝,2600,先行,78,9,27,0.1154,0.3462
福島,芝,2600,差し,202,8,29,0.0396,0.1436
福島,芝,2600,逃げ,28,5,11,0.1786,0.3929
阪神,ダ,1200,先行,240,31,85,0.1292,0.3542
阪神,ダ,1200,差し,609,27,82,0.0443,0.1346
阪神,ダ,1200,逃げ,62,4,19,0.0645,0.3065
阪神,ダ,1400,先行,262,39,95,0.1489,0.3626
阪神,ダ,1400,差し,669,26,95,0.0389,0.142
阪神,ダ,1400,逃げ,69,4,17,0.058,0.2464
阪神,ダ,1800,まくり,18,3,8,0.1667,0.4444
阪神,ダ,1800,先行,335,51,137,0.1522,0.409
阪神,ダ,1800,差し,770,23,110,0.0299,0.1429
阪神,ダ,1800,逃げ,105,21,39,0.2,0.3714
阪神,ダ,2000,まくり,4,2,2,0.5,0.5
阪神,ダ,2000,先行,86,16,45,0.186,0.5233
阪神,ダ,2000,差し,195,4,20,0.0205,0.1026
阪神,ダ,2000,逃げ,27,3,8,0.1111,0.2963
阪神,芝,1200,先行,92,6,26,0.0652,0.2826
阪神,芝,1200,差し,235,14,35,0.0596,0.1489
阪神,芝,1200,逃げ,26,6,17,0.2308,0.6538
阪神,芝,1400,先行,161,15,56,0.0932,0.3478
阪神,芝,1400,差し,345,14,44,0.0406,0.1275
阪神,芝,1400,逃げ,40,12,23,0.3,0.575
阪神,芝,1600,まくり,2,0,1,0.0,0.5
阪神,芝,1600,先行,158,22,54,0.1392,0.3418
阪神,芝,1600,差し,330,15,63,0.0455,0.1909
阪神,芝,1600,逃げ,44,7,14,0.1591,0.3182
阪神,芝,1800,まくり,3,1,1,0.3333,0.3333
阪神,芝,1800,先行,159,15,61,0.0943,0.3836
阪神,芝,1800,差し,242,15,45,0.062,0.186
阪神,芝,1800,逃げ,42,11,19,0.2619,0.4524
阪神,芝,2000,まくり,6,1,3,0.1667,0.5
阪神,芝,2000,先行,127,17,47,0.1339,0.3701
阪神,芝,2000,差し,222,12,42,0.0541,0.1892
阪神,芝,2000,逃げ,38,7,19,0.1842,0.5
阪神,芝,2200,まくり,4,1,2,0.25,0.5
阪神,芝,2200,先行,35,3,13,0.0857,0.3714
阪神,芝,2200,差し,60,6,13,0.1,0.2167
阪神,芝,2200,逃げ,11,1,5,0.0909,0.4545
阪神,芝,2400,まくり,5,0,1,0.0,0.2
阪神,芝,2400,先行,86,12,38,0.1395,0.4419
阪神,芝,2400,差し,126,9,30,0.0714,0.2381
阪神,芝,2400,逃げ,25,4,6,0.16,0.24
阪神,芝,2600,まくり,1,0,0,0.0,0.0
阪神,芝,2600,先行,15,2,5,0.1333,0.3333
阪神,芝,2600,差し,20,2,7,0.1,0.35
阪神,芝,2600,逃げ,4,0,0,0.0,0.0
阪神,芝,3000,先行,11,0,3,0.0,0.2727
阪神,芝,3000,差し,25,3,6,0.12,0.24
阪神,芝,3000,逃げ,3,0,0,0.0,0.0
