競馬場,芝ダ,距離数値,前走場所,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
東京,芝,2400.0,東京,219,25,56,0.1142,0.2557,91.8,64.2
東京,芝,2400.0,中山,177,12,48,0.0678,0.2712,124.7,78.8
東京,芝,2400.0,阪神,118,9,31,0.0763,0.2627,135.2,75.8
東京,芝,2400.0,中京,39,4,14,0.1026,0.359,156.4,88.2
東京,芝,2400.0,京都,39,1,6,0.0256,0.1538,113.6,45.1
東京,芝,2400.0,新潟,37,5,12,0.1351,0.3243,199.3,69.7
東京,芝,2400.0,福島,35,2,7,0.0571,0.2,169.6,58.9
東京,芝,2500.0,東京,25,1,4,0.04,0.16,147.9,51.2
東京,芝,2500.0,中山,22,4,7,0.1818,0.3182,119.7,60.9
東京,芝,3110.0,新潟,25,1,6,0.04,0.24,73.3,113.6
福島,ダ,1150.0,中山,177,8,29,0.0452,0.1638,110.9,73.8
福島,ダ,1150.0,新潟,148,11,28,0.0743,0.1892,104.4,53.3
福島,ダ,1150.0,福島,116,5,22,0.0431,0.1897,77.5,83.4
福島,ダ,1150.0,東京,82,8,20,0.0976,0.2439,104.9,71.5
福島,ダ,1150.0,阪神,80,6,23,0.075,0.2875,143.3,121.9
福島,ダ,1150.0,中京,59,5,17,0.0847,0.2881,193.7,95.1
福島,ダ,1150.0,小倉,58,4,11,0.069,0.1897,94.1,37.9
福島,ダ,1150.0,京都,50,5,10,0.1,0.2,129.0,74.2
福島,ダ,1700.0,東京,256,15,55,0.0586,0.2148,145.1,69.2
福島,ダ,1700.0,中山,199,9,40,0.0452,0.201,138.4,65.2
福島,ダ,1700.0,福島,140,8,30,0.0571,0.2143,101.2,57.0
福島,ダ,1700.0,新潟,131,10,31,0.0763,0.2366,107.1,74.6
福島,ダ,1700.0,小倉,113,8,26,0.0708,0.2301,155.5,77.8
福島,ダ,1700.0,阪神,102,11,24,0.1078,0.2353,141.2,94.1
福島,ダ,1700.0,中京,97,6,20,0.0619,0.2062,201.0,109.2
福島,ダ,1700.0,京都,46,8,16,0.1739,0.3478,209.0,92.2
福島,ダ,1700.0,札幌,36,4,6,0.1111,0.1667,199.9,71.4
