場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率
札幌,ダ,1700,中京,10,0,0,0.0,0.0
札幌,ダ,1700,中山,14,1,3,0.0714,0.2143
札幌,ダ,1700,京都,27,3,10,0.1111,0.3704
札幌,ダ,1700,函館,193,14,47,0.0725,0.2435
札幌,ダ,1700,大井,2,0,0,0.0,0.0
札幌,ダ,1700,小倉,13,1,5,0.0769,0.3846
札幌,ダ,1700,川崎,3,0,0,0.0,0.0
札幌,ダ,1700,新潟,19,0,2,0.0,0.1053
札幌,ダ,1700,札幌,265,18,58,0.0679,0.2189
札幌,ダ,1700,東京,78,9,18,0.1154,0.2308
札幌,ダ,1700,福島,41,4,9,0.0976,0.2195
札幌,ダ,1700,笠松,1,0,0,0.0,0.0
札幌,ダ,1700,金沢,1,0,0,0.0,0.0
札幌,ダ,1700,門別,1,0,0,0.0,0.0
札幌,ダ,1700,阪神,36,4,10,0.1111,0.2778
札幌,芝,1200,中京,7,0,3,0.0,0.4286
札幌,芝,1200,中山,6,1,1,0.1667,0.1667
札幌,芝,1200,京都,10,0,5,0.0,0.5
札幌,芝,1200,函館,211,15,37,0.0711,0.1754
札幌,芝,1200,小倉,4,0,0,0.0,0.0
札幌,芝,1200,新潟,20,1,2,0.05,0.1
札幌,芝,1200,札幌,112,6,24,0.0536,0.2143
札幌,芝,1200,東京,11,1,3,0.0909,0.2727
札幌,芝,1200,福島,24,4,9,0.1667,0.375
札幌,芝,1200,笠松,1,0,0,0.0,0.0
札幌,芝,1200,金沢,1,0,0,0.0,0.0
札幌,芝,1200,門別,3,0,1,0.0,0.3333
札幌,芝,1200,阪神,10,1,3,0.1,0.3
札幌,芝,1500,中京,11,1,2,0.0909,0.1818
札幌,芝,1500,中山,13,0,4,0.0,0.3077
札幌,芝,1500,京都,10,2,3,0.2,0.3
札幌,芝,1500,函館,52,2,11,0.0385,0.2115
札幌,芝,1500,小倉,4,0,0,0.0,0.0
札幌,芝,1500,川崎,1,0,0,0.0,0.0
札幌,芝,1500,新潟,14,1,2,0.0714,0.1429
札幌,芝,1500,札幌,90,4,13,0.0444,0.1444
札幌,芝,1500,東京,50,6,19,0.12,0.38
札幌,芝,1500,福島,12,2,3,0.1667,0.25
札幌,芝,1500,門別,4,0,0,0.0,0.0
札幌,芝,1500,阪神,13,3,6,0.2308,0.4615
札幌,芝,1800,中京,8,1,2,0.125,0.25
札幌,芝,1800,中山,11,2,4,0.1818,0.3636
札幌,芝,1800,京都,2,1,1,0.5,0.5
札幌,芝,1800,佐賀,1,0,1,0.0,1.0
札幌,芝,1800,函館,90,6,19,0.0667,0.2111
札幌,芝,1800,小倉,4,0,1,0.0,0.25
札幌,芝,1800,川崎,1,0,0,0.0,0.0
札幌,芝,1800,新潟,8,1,1,0.125,0.125
札幌,芝,1800,札幌,102,5,24,0.049,0.2353
札幌,芝,1800,東京,16,3,7,0.1875,0.4375
札幌,芝,1800,盛岡,1,0,1,0.0,1.0
札幌,芝,1800,福島,14,2,4,0.1429,0.2857
札幌,芝,1800,笠松,1,0,0,0.0,0.0
