場所,芝ダ,距離,勝ち方,母数,勝利数,複勝数,単勝率,複勝率
阪神,ダ,1400,逃げ切り,69,4,17,0.058,0.2464
阪神,ダ,1800,まくり,18,3,8,0.1667,0.4444
阪神,ダ,1800,先行押し切り,335,51,137,0.1522,0.409
阪神,ダ,1800,差し,408,17,83,0.0417,0.2034
阪神,ダ,1800,追い込み,362,6,27,0.0166,0.0746
阪神,ダ,1800,逃げ切り,105,21,39,0.2,0.3714
阪神,ダ,2000,まくり,4,2,2,0.5,0.5
阪神,ダ,2000,先行押し切り,86,16,45,0.186,0.5233
阪神,ダ,2000,差し,103,3,14,0.0291,0.1359
阪神,ダ,2000,追い込み,92,1,6,0.0109,0.0652
阪神,ダ,2000,逃げ切り,27,3,8,0.1111,0.2963
阪神,芝,1200,先行押し切り,92,6,26,0.0652,0.2826
阪神,芝,1200,差し,119,12,25,0.1008,0.2101
阪神,芝,1200,追い込み,116,2,10,0.0172,0.0862
阪神,芝,1200,逃げ切り,26,6,17,0.2308,0.6538
阪神,芝,1400,先行押し切り,161,15,56,0.0932,0.3478
阪神,芝,1400,差し,192,11,33,0.0573,0.1719
阪神,芝,1400,追い込み,153,3,11,0.0196,0.0719
阪神,芝,1400,逃げ切り,40,12,23,0.3,0.575
阪神,芝,1600,まくり,2,0,1,0.0,0.5
阪神,芝,1600,先行押し切り,158,22,54,0.1392,0.3418
阪神,芝,1600,差し,175,7,39,0.04,0.2229
阪神,芝,1600,追い込み,155,8,24,0.0516,0.1548
阪神,芝,1600,逃げ切り,44,7,14,0.1591,0.3182
阪神,芝,1800,まくり,3,1,1,0.3333,0.3333
阪神,芝,1800,先行押し切り,159,15,61,0.0943,0.3836
阪神,芝,1800,差し,121,7,26,0.0579,0.2149
阪神,芝,1800,追い込み,121,8,19,0.0661,0.157
阪神,芝,1800,逃げ切り,42,11,19,0.2619,0.4524
阪神,芝,2000,まくり,6,1,3,0.1667,0.5
阪神,芝,2000,先行押し切り,127,17,47,0.1339,0.3701
阪神,芝,2000,差し,109,7,24,0.0642,0.2202
阪神,芝,2000,追い込み,113,5,18,0.0442,0.1593
阪神,芝,2000,逃げ切り,38,7,19,0.1842,0.5
阪神,芝,2200,まくり,4,1,2,0.25,0.5
阪神,芝,2200,先行押し切り,35,3,13,0.0857,0.3714
